neutral hinglish sentence,context,social_context,Possible Slangs,Slang Location,Multiple positions allowed?,Control tokens,function,output sentence
Uska explanation zyada convincing nahi tha,Discussion,Peer / Serious,off,END,No,[ASSERT_NEGATIVE],slang_eval,"Uska explanation zyada convincing nahi tha, off"
Aaj ka traffic expected se kam tha,Commute,Peer / Casual,chill,END,No,[ASSERT_NEUTRAL],positive_eval,"Aaj ka traffic expected se kam tha, chill"
Usne kaam ka pressure handle kar liya,Appreciation,Peer / Casual,solid,END,No,[ASSERT_POSITIVE],positive_eval,"Usne kaam ka pressure handle kar liya, solid"
Thoda sa compromise karna padega,Compromise,Peer / Casual,scene hai,END,No,[ASSERT_NEUTRAL],idiom,"Thoda sa compromise karna padega, scene hai"
Aaj ka task thoda confusing nikla,Work,Peer / Serious,bhai,END,No,[ASSERT_CONFUSION],filler,Aaj ka task thoda confusing nikla bhai
Usne reply ka wait karwaya,Waiting response,Peer / Anxious,scene tight,END,No,[ASSERT_ANXIETY],intensifier,"Usne reply ka wait karwaya, scene tight"
Lecture ka content kaafi useful tha,Academics,Peer / Casual,kaam ka,END,No,[ASSERT_POSITIVE],slang_eval,"Lecture ka content kaafi useful tha, kaam ka"
Kal ka plan thoda messy ho gaya,Social plan,Peer / Casual,scene off,END,No,[ASSERT_NEGATIVE],idiom,"Kal ka plan thoda messy ho gaya, scene off"
Internet ka speed aaj decent hai,Tech issue,Peer / Casual,chill,END,No,[ASSERT_NEUTRAL],positive_eval,"Internet ka speed aaj decent hai, chill"
Uska reaction thoda over tha,Social interaction,Peer / Casual,drama,END,No,[ASSERT_NEGATIVE],slang_eval,"Uska reaction thoda over tha, drama"
Aaj ka kaam smooth chal raha hai,Work,Peer / Happy,sorted,END,No,[ASSERT_POSITIVE],closure_marker,"Aaj ka kaam smooth chal raha hai, sorted"
Match ka first half kaafi slow tha,Sports talk,Peer / Casual,pakau,END,No,[ASSERT_NEGATIVE],negative_eval,"Match ka first half kaafi slow tha, pakau"
Usne baat ko clearly explain kiya,Communication,Peer / Casual,on point,END,No,[ASSERT_POSITIVE],slang_eval,"Usne baat ko clearly explain kiya, on point"
Phone ka signal baar baar ja raha hai,Device issue,Peer / Annoyed,kya yaar,START,No,[ASSERT_FRUSTRATION],filler,"Kya yaar, phone ka signal baar baar ja raha hai"
Aaj ka din kaafi balanced laga,Daily routine,Peer / Casual,sahi gaya,END,No,[ASSERT_NEUTRAL],affirmation,"Aaj ka din kaafi balanced laga, sahi gaya"
Usne pressure mein bhi calm raha,Appreciation,Peer / Casual,solid,END,No,[ASSERT_POSITIVE],positive_eval,"Usne pressure mein bhi calm raha, solid"
Meeting ka agenda clear nahi tha,Work update,Peer / Serious,unclear,END,No,[ASSERT_CONFUSION],lexical_insertion,"Meeting ka agenda clear nahi tha, unclear"
Kal ka dinner scene average tha,Food review,Peer / Casual,theek thaak,END,No,[ASSERT_NEUTRAL],eval,Kal ka dinner scene theek thaak tha
Usne plan last minute drop kar diya,Social,Peer / Annoyed,kya yaar,START,No,[ASSERT_FRUSTRATION],filler,"Kya yaar, usne plan last minute drop kar diya"
Aaj weather thoda dull sa hai,Weather,Peer / Casual,off,END,No,[ASSERT_NEUTRAL],slang_eval,"Aaj weather thoda dull sa hai, off"
Uska suggestion kaafi useful nikla,Feedback,Peer / Casual,on point,END,No,[ASSERT_POSITIVE],slang_eval,"Uska suggestion kaafi useful nikla, on point"
Abhi clarity milna thoda tough hai,Decision,Peer / Serious,bhai,END,No,[ASSERT_CONFUSION],filler,Abhi clarity milna thoda tough hai bhai
Train ka delay thoda irritating tha,Travel issue,Peer / Annoyed,scene off,END,No,[ASSERT_FRUSTRATION],idiom,"Train ka delay thoda irritating tha, scene off"
Usne kaam bina fuss ke kar diya,Work,Peer / Casual,smooth,END,No,[ASSERT_POSITIVE],slang_eval,"Usne kaam bina fuss ke kar diya, smooth"
Aaj ka schedule kaafi packed hai,Planning,Peer / Serious,scene tight,END,No,[REQUEST_URGENCY],intensifier,"Aaj ka schedule kaafi packed hai, scene tight"
Mood thoda unstable sa lag raha hai,Emotional state,Peer / Concerned,off,END,No,[ASSERT_NEUTRAL],slang_eval,"Mood thoda unstable sa lag raha hai, off"
Usne directly point pe baat ki,Social,Peer / Neutral,seedha,END,No,[ASSERT_NEUTRAL],descriptor,"Usne directly point pe baat ki, seedha"
Aaj ka kaam bina delay ke ho gaya,Work,Peer / Happy,smooth,END,No,[ASSERT_POSITIVE],slang_eval,"Aaj ka kaam bina delay ke ho gaya, smooth"
Kal ka test expectation se better gaya,Academics,Peer / Happy,sahi gaya,END,No,[ASSERT_HAPPY],affirmation,"Kal ka test expectation se better gaya, sahi gaya"
Usne situation ko unnecessarily complicate kiya,Social,Peer / Casual,drama,END,No,[ASSERT_NEGATIVE],slang_eval,"Usne situation ko unnecessarily complicate kiya, drama"
Phone ki battery aaj surprisingly bachi,Device issue,Peer / Casual,sorted,END,No,[ASSERT_POSITIVE],closure_marker,"Phone ki battery aaj surprisingly bachi, sorted"
Abhi thoda patience rakhna hoga,Situation,Peer / Serious,bhai,END,No,[REQUEST_NEUTRAL],softener,Abhi thoda patience rakhna hoga bhai
Aaj ka kaam priority pe hai,Work,Peer / Serious,scene tight,END,No,[REQUEST_URGENCY],intensifier,"Aaj ka kaam priority pe hai, scene tight"
Usne baat ko halka le liya,Social,Peer / Casual,chill maar,MIDDLE,No,[ASSERT_NEUTRAL],softener,Usne baat ko chill maar liya
Kal ka experience kaafi memorable tha,Daily life,Peer / Happy,jhakaas,END,No,[ASSERT_HAPPY],positive_eval,"Kal ka experience kaafi memorable tha, jhakaas"
Uska explanation thoda weak laga,Discussion,Peer / Serious,weak,END,No,[ASSERT_NEGATIVE],slang_eval,"Uska explanation thoda weak laga, weak"
Aaj traffic normal se kam tha,Commute,Peer / Casual,chill,END,No,[ASSERT_NEUTRAL],positive_eval,"Aaj traffic normal se kam tha, chill"
Usne kaam ko smartly manage kiya,Appreciation,Peer / Casual,smooth,END,No,[ASSERT_POSITIVE],slang_eval,"Usne kaam ko smartly manage kiya, smooth"
Thoda sa adjustment karna padega,Compromise,Peer / Casual,scene hai,END,No,[ASSERT_NEUTRAL],idiom,"Thoda sa adjustment karna padega, scene hai"
Aaj ka din thoda exhausting raha,Daily routine,Peer / Tired,watt lag gayi,END,No,[ASSERT_STRESS],idiom,"Aaj ka din thoda exhausting raha, watt lag gayi"
Usne feedback kaafi honestly diya,Feedback,Peer / Casual,on point,END,No,[ASSERT_POSITIVE],slang_eval,"Usne feedback kaafi honestly diya, on point"
Abhi final call lena baaki hai,Decision,Peer / Serious,bhai,END,No,[ASSERT_CONFUSION],filler,Abhi final call lena baaki hai bhai
Kal ka discussion kaafi insightful tha,Work,Peer / Casual,kaam ka,END,No,[ASSERT_POSITIVE],slang_eval,"Kal ka discussion kaafi insightful tha, kaam ka"
Phone ka storage almost full ho gaya,Device issue,Peer / Annoyed,yaar,END,No,[ASSERT_FRUSTRATION],filler,Phone ka storage almost full ho gaya yaar
Uska reply thoda dry tha,Social,Peer / Casual,off,END,No,[ASSERT_NEGATIVE],slang_eval,"Uska reply thoda dry tha, off"
Aaj weather kaafi comfortable hai,Weather,Peer / Casual,mast,END,No,[ASSERT_POSITIVE],positive_eval,"Aaj weather kaafi comfortable hai, mast"
Usne kaam bina complaint ke kar diya,Work,Peer / Casual,smooth,END,No,[ASSERT_POSITIVE],slang_eval,"Usne kaam bina complaint ke kar diya, smooth"
Usne sara credit khud le liya.,Office Politics,Peer/Annoyed,Gajab scene hai,START,No,[ASSERT_FRUSTRATION],idiom,"Gajab scene hai, usne sara credit khud le liya."
Yeh naya app kaafi fast hai.,Tech,Peer/Happy,makkhan,END,No,[ASSERT_POSITIVE],slang_eval,Yeh naya app kaafi makkhan hai.
Aaj jaldi uthna padega.,Routine,Peer/Serious,waat lagne wali hai,END,No,[ASSERT_STRESS],idiom,"Aaj jaldi uthna padega, waat lagne wali hai."
Tumne video dekha?,Social Media,Peer/Curious,kya bawal,START,No,[ASSERT_HAPPY],intensifier,"Kya bawal video hai, tumne dekha?"
Project ka deadline kal hi hai.,Academic,Peer/Urgent,gaand-faad,MIDDLE,No,[REQUEST_URGENCY],intensifier,Project ka gaand-faad deadline kal hi hai.
Pizza bohot swadisht tha.,Food,Friend/Casual,cut-to-cut,END,No,[ASSERT_POSITIVE],positive_eval,Pizza ekdum cut-to-cut badiya tha.
Salary abhi tak nahi aayi.,Finance,Peer/Sad,dukhi aatma,START,No,[ASSERT_SADNESS],filler,"Dukhi aatma ban gaya hoon, salary abhi tak nahi aayi."
Woh hamesha show-off karta hai.,Criticism,Peer/Tense,pheku,MIDDLE,No,[ASSERT_NEGATIVE],slang_eval,Woh hamesha pheku giri karta hai.
Meeting boring hone wali hai.,Work,Peer/Tired,pakaayega,END,No,[ASSERT_NEGATIVE],negative_eval,"Meeting boring hone wali hai, pakaayega woh."
Chalo bahar ghumte hain.,Outing,Peer/Social,gedi maarte hain,END,No,[REQUEST_NEUTRAL],cultural_marker,Chalo bahar gedi maarte hain.
Usne situation sambhal li.,Appreciation,Peer/Happy,pira (pro),END,No,[ASSERT_POSITIVE],slang_eval,"Usne situation sambhal li, banda pira hai."
Wifi kaam nahi kar raha.,Tech Issue,Peer/Annoyed,kachra,MIDDLE,No,[ASSERT_FRUSTRATION],slang_eval,Wifi ekdum kachra ho gaya hai.
Party mein maza aayega.,Event,Peer/Excited,tabahi,END,No,[ASSERT_HAPPY],intensifier,Party mein tabahi maza aayega!
Shopping ke liye paise nahi hain.,Money,Friend/Casual,kangaal,START,No,[ASSERT_SADNESS],filler,"Kangaal ho gaya hoon, shopping ke paise nahi hain."
Uska style acha hai.,Compliment,Peer/Casual,katil,MIDDLE,No,[ASSERT_POSITIVE],intensifier,Uska style ekdum katil hai.
Movie ka climax acha tha.,Review,Peer/Casual,sir-fira,END,No,[ASSERT_POSITIVE],positive_eval,Movie ka climax ekdum sir-fira tha.
Yeh raasta shortcut hai.,Travel,Peer/Neutral,jugaad,MIDDLE,No,[ASSERT_NEUTRAL],cultural_marker,Yeh raasta ekdum jugaad wala shortcut hai.
Exam ke liye darr lag raha hai.,Student Life,Peer/Anxious,fatti padi hai,END,No,[EXPRESS_STRESS],idiom,Exam ke liye fatti padi hai bhai.
Usne breakup kar liya.,Relationship,Peer/Sad,kat gaya,END,No,[ASSERT_SADNESS],idiom,"Usne breakup kar liya, uska kat gaya."
Boss gusse mein hai.,Work,Peer/Tense,khiska hua,MIDDLE,No,[ASSERT_WARNING],slang_eval,"Boss aaj thoda khiska hua hai, bach ke reh."
Usne saara kaam akele kar liya.,Appreciation,Peer/Happy,baap,END,No,[ASSERT_POSITIVE],slang_eval,"Usne saara kaam akele kar liya, banda baap hai."
Yeh laptop kaafi hang ho raha hai.,Tech Issue,Peer/Annoyed,kachra,END,No,[ASSERT_FRUSTRATION],slang_eval,"Yeh laptop kaafi hang ho raha hai, ekdum kachra hai."
Aaj jaldi nikalna padega.,Travel,Peer/Urgent,palti maarte hain,START,No,[REQUEST_URGENCY],idiom,"Palti maarte hain, aaj jaldi nikalna padega."
Khana thoda zyada spicy tha.,Food Review,Friend/Casual,gaand-faad,MIDDLE,No,[ASSERT_NEGATIVE],intensifier,Khana thoda gaand-faad spicy tha.
Boss aaj gusse mein lag raha hai.,Work,Peer/Tense,khiska hua,MIDDLE,No,[ASSERT_WARNING],slang_eval,Boss aaj thoda khiska hua lag raha hai.
Uska dimaag kharab ho gaya hai.,Criticism,Peer/Annoyed,satak gaya,END,No,[ASSERT_NEGATIVE],idiom,Uska dimaag satak gaya hai.
Party mein maza aane wala hai.,Event,Peer/Excited,tabahi,END,No,[ASSERT_HAPPY],intensifier,"Party mein maza aane wala hai, ekdum tabahi!"
Salary aane mein abhi waqt hai.,Finance,Peer/Sad,kangaali,START,No,[ASSERT_SADNESS],filler,"Kangaali chal rahi hai, salary aane mein waqt hai."
Yeh idea kaam kar jayega.,Discussion,Peer/Happy,solid,END,No,[ASSERT_POSITIVE],positive_eval,"Yeh idea kaam kar jayega, solid hai."
Usne baat ghumane ki koshish ki.,Social,Peer/Neutral,shana,MIDDLE,No,[ASSERT_NEUTRAL],descriptor,"Zyada shana mat ban, baat mat ghuma."
Coffee bohot kadak thi.,Food,Peer/Casual,neend udd gayi,END,No,[ASSERT_POSITIVE],idiom,"Coffee bohot kadak thi, neend udd gayi."
Project finish ho gaya.,Work,Peer/Happy,"khatam, bye-bye",END,No,[ASSERT_POSITIVE],closure_marker,"Project finish ho gaya, khatam, bye-bye."
Traffic ne dimaag kharab kar diya.,Commute,Peer/Annoyed,bheja fry,START,No,[ASSERT_FRUSTRATION],idiom,"Bheja fry ho gaya, traffic ne dimaag kharab kar diya."
Uska look kaafi acha hai.,Compliment,Friend/Social,zeher,END,No,[ASSERT_HAPPY],slang_eval,Uska look ekdum zeher hai.
Zyada tension mat lo.,Advice,Friend/Relaxed,chill maar,START,No,[REQUEST_NEUTRAL],softener,"Chill maar, zyada tension mat lo."
Yeh phone purana ho gaya hai.,Device,Peer/Casual,dabba,END,No,[ASSERT_NEUTRAL],slang_eval,"Yeh phone purana ho gaya hai, ekdum dabba hai."
Usne sab kuch kharab kar diya.,Blaming,Peer/Tense,raita faila diya,END,No,[ASSERT_FRUSTRATION],idiom,Usne sab raita faila diya.
Woh hamesha jhoot bolta hai.,Criticism,Peer/Casual,pheku,MIDDLE,No,[ASSERT_NEGATIVE],slang_eval,Woh ek number ka pheku hai.
Presentation thodi lambi ho gayi.,Work,Peer/Tired,pakaau,END,No,[ASSERT_NEGATIVE],negative_eval,"Presentation thodi lambi ho gayi, pakaau thi."
Aaj mausam bohot pyara hai.,Weather,Peer/Happy,vibe,MIDDLE,No,[ASSERT_POSITIVE],lexical_insertion,Aaj weather ki alag hi vibe hai.
Meeting ka result zero raha.,Work,Peer/Annoyed,thullu,END,No,[ASSERT_NEGATIVE],slang_eval,"Meeting ka result kuch nahi nikla, thullu mila."
Usne surprise kharab kar diya.,Social,Peer/Sad,popat,END,No,[ASSERT_SADNESS],idiom,"Usne surprise kharab kar diya, popat ho gaya."
Movie ka action zabardast tha.,Review,Peer/Excited,faadu,MIDDLE,No,[ASSERT_HAPPY],positive_eval,Movie ka action ekdum faadu tha.
Yeh kaam mushkil lag raha hai.,Work,Peer/Tense,tedhi kheer,END,No,[ASSERT_STRESS],idiom,Yeh kaam thoda tedhi kheer hai.
Usne bina puche decision liya.,Conflict,Peer/Annoyed,apni dhun mein,START,No,[ASSERT_FRUSTRATION],descriptor,"Apni dhun mein, usne bina puche decision le liya."
Khana thik thak tha.,Food Review,Peer/Casual,average,END,No,[ASSERT_NEUTRAL],eval,Khana thoda average tha.
Usne cheating karke exam pass kiya.,Academic,Peer/Curious,jugaad,MIDDLE,No,[ASSERT_NEUTRAL],cultural_marker,Usne jugaad karke exam pass kar liya.
Aaj mood bohot fresh hai.,Emotional,Peer/Happy,sorted,END,No,[ASSERT_POSITIVE],closure_marker,Aaj mood ekdum sorted hai.
Usne help karne se mana kar diya.,Refusal,Peer/Sad,kaat diya,END,No,[ASSERT_SADNESS],idiom,Maine pucha par usne kaat diya.
Yeh dress tumpe achi lag rahi hai.,Compliment,Friend/Close,ekdum,MIDDLE,No,[ASSERT_HAPPY],intensifier,Yeh dress tumpe ekdum jach rahi hai.
Kal ka plan fix hai?,Planning,Peer/Curious,kya scene hai,START,No,[REQUEST_NEUTRAL],info_opener,"Kya scene hai, kal ka plan fix hai?"
Wifi ki speed bohot slow hai.,Tech Issue,Peer/Annoyed,raddi,END,No,[ASSERT_FRUSTRATION],slang_eval,Wifi ki speed ekdum raddi hai.
Usne smart answer diya.,Appreciation,Peer/Casual,smooth,END,No,[ASSERT_POSITIVE],slang_eval,Usne kaafi smooth answer diya.
Party mein bohot bheed thi.,Event Review,Peer/Tired,mach-mach,END,No,[ASSERT_NEGATIVE],slang_eval,Party mein bohot mach-mach thi.
Usne galti maan li.,Social,Peer/Neutral,seedha,END,No,[ASSERT_NEUTRAL],descriptor,"Usne galti maan li, seedha banda hai."
Kal ka dinner kaafi mehnga tha.,Food,Peer/Casual,pocket dhili,END,No,[ASSERT_NEGATIVE],idiom,Kal ka dinner karke pocket dhili ho gayi.
Game ka graphix bohot acha hai.,Tech,Peer/Excited,next level,END,No,[ASSERT_HAPPY],intensifier,Game ka graphics ekdum next level hai.
Usne hamesha ki tarah nakhre dikhaye.,Criticism,Peer/Annoyed,drama,END,No,[ASSERT_NEGATIVE],slang_eval,Usne phir se drama shuru kar diya.
Aaj ka din thoda boring gaya.,Routine,Peer/Casual,off,END,No,[ASSERT_NEUTRAL],slang_eval,Aaj ka din thoda off raha.
Usne project time pe submit kiya.,Work,Peer/Happy,on point,END,No,[ASSERT_POSITIVE],slang_eval,Uska submission ekdum on point tha.
Battery khatam hone wali hai.,Device,Peer/Urgent,bol gayi,END,No,[ASSERT_FRUSTRATION],idiom,Battery ab bol gayi.
Uska house party kaafi acha tha.,Social,Peer/Happy,paisa vasool,END,No,[ASSERT_HAPPY],idiom,Party ekdum paisa vasool thi.
Usne line maarne ki koshish ki.,Social,Peer/Curious,hit maarne ki,MIDDLE,No,[REQUEST_NEUTRAL],cultural_informal,Usne uspe hie maarne ki koshish kar raha tha.
Woh bohot darta hai.,Description,Peer/Casual,fattu,END,No,[ASSERT_NEUTRAL],negative_eval,Woh ek number ka fattu hai.
Usne jaldi mein kaam kiya.,Work,Peer/Casual,on the fly,MIDDLE,No,[ASSERT_NEUTRAL],discourse_marker,Usne kaam on the fly nipta diya.
Aaj thodi thand zyada hai.,Weather,Peer/Casual,kadak,MIDDLE,No,[ASSERT_NEUTRAL],intensifier,Aaj kadak thand hai.
Usne call uthana band kar diya.,Conflict,Peer/Anxious,scene off,END,No,[ASSERT_FRUSTRATION],idiom,"Usne call nahi uthaya, scene off hai."
Tum bohot mehnat kar rahe ho.,Appreciation,Peer/Happy,respect,START,No,[ASSERT_POSITIVE],positive_eval,"Respect, tum bohot mehnat kar rahe ho."
Usne seedha mana kar diya.,Social,Peer/Neutral,blunt,END,No,[ASSERT_NEUTRAL],descriptor,Usne blunt hokar mana kar diya.
Aaj kaam ka bohot pressure hai.,Work,Peer/Tired,waat lagi padi hai,END,No,[ASSERT_STRESS],idiom,Aaj kaam ki wajah se waat lagi padi hai.
Kal ka viva bahut tough tha.,Academics,Peer/Tired,"Bhai, watt lag gayi","START, END",Yes,[ASSERT_STRESS],idiom,"Bhai kal ka viva bahut tough tha, watt lag gayi."
Usne saari coding khud ki.,Tech Project,Peer/Appreciation,"Slay, pro","START, END",Yes,[ASSERT_HAPPY],slang_eval,"Slay, usne saari coding khud ki, banda pro hai."
Assignment copy mat karo.,Academic,Peer/Serious,"Oye, scene","START, MIDDLE",Yes,[ASSERT_WARNING],filler,"Oye, assignment copy mat kar, scene ho jayega."
Result kal aane wala hai.,Result,Peer/Anxious,"Yaar, fatti padi hai","START, END",Yes,[ASSERT_ANXIETY],idiom,"Yaar result kal aane wala hai, fatti padi hai."
Lecture bahut boring tha.,Feedback,Peer/Tired,"Pakau, neend aa rahi thi","START, END",Yes,[ASSERT_NEGATIVE],negative_eval,"Yaar, aaj ka lecture toh pakau tha, neend aa rahi thi."
Notes share kar do.,Study,Peer/Urgent,"Bhai, jaldi","START, END",Yes,[REQUEST_URGENCY],softener,"Bhai notes share kar do, jaldi chahiye."
Group project ka kaam baki hai.,Project,Peer/Serious,"Scene tight, yaar","START, END",Yes,[ASSERT_STRESS],intensifier,"Scene tight hai, group project ka kaam baki hai yaar."
Usne scholarship jeet li.,Appreciation,Peer/Excited,"Bohot hard, next level","START, END",Yes,[ASSERT_HAPPY],intensifier,"Bohot hard, usne scholarship jeet li, next level hai!"
Library mein shanti rakho.,Conduct,Peer/Tense,"Chill maar, bhai","START, END",Yes,[REQUEST_NEUTRAL],softener,"Bhai, library mein shanti rakho, thoda chill maar."
Attendance kam hai meri.,Problem,Peer/Anxious,"Waat lag gayi, scene off","START, END",Yes,[ASSERT_SADNESS],idiom,"Waat lag gayi, attendance kam hai meri, scene off hai."
Professor ne extra class li.,Announcement,Peer/Annoyed,"Kya yaar, dimaag kharab","START, END",Yes,[ASSERT_FRUSTRATION],filler,"Kya yaar, professor ne extra class li, dimaag kharab ho gaya."
Presentation on point thi.,Review,Peer/Happy,"Solid, smooth","START, END",Yes,[ASSERT_POSITIVE],slang_eval,"Solid, presentation ekdum smooth thi."
Kuch samajh nahi aa raha.,Confusion,Peer/Serious,"Bhai, funda clear","START, END",Yes,[ASSERT_CONFUSION],lexical_insertion,"Bhai kuch samajh nahi aa raha, funda clear nahi hai."
Proxy laga dena meri.,Favor,Peer/Casual,"Bhai, scene set","START, END",Yes,[REQUEST_NEUTRAL],cultural_marker,"Bhai proxy laga dena meri, scene set ho jayega."
Exam cancel ho gaya.,News,Peer/Excited,"Mauj, bindaas","START, END",Yes,[ASSERT_HAPPY],positive_eval,"Mauj ho gayi, exam cancel ho gaya, bindaas!"
Lab manual submit karni hai.,Reminder,Peer/Serious,"Jaldi, scene tight","START, END",Yes,[REQUEST_URGENCY],urgency_marker,"Jaldi lab manual submit karni hai, scene tight hai."
Usne top kiya class mein.,Appreciation,Peer/Happy,"Respect, baap","START, END",Yes,[ASSERT_POSITIVE],positive_eval,"Respect, usne top kiya class mein, banda baap hai."
Coding mein error aa raha hai.,Problem,Peer/Frustrated,"Kya kachra hai, yaar","START, END",Yes,[ASSERT_FRUSTRATION],slang_eval,"Kya kachra hai, coding mein error aa raha hai yaar."
Kal chhuti hai college ki.,Holiday,Peer/Happy,"Sahi hai, scene set","START, END",Yes,[ASSERT_HAPPY],closure_marker,"Sahi hai, kal chhuti hai college ki, scene set!"
Internships milna mushkil hai.,Discussion,Peer/Serious,"Bhai, watt lag rahi hai","START, END",Yes,[ASSERT_STRESS],idiom,"Bhai, internships milna mushkil hai, watt lag rahi hai."
Quiz bahut achanak tha.,Feedback,Peer/Annoyed,"Oye, popat","START, END",Yes,[ASSERT_NEGATIVE],idiom,"Oye, quiz bahut achanak tha, sabka popat ho gaya."
Revision shuru karni hogi.,Study,Peer/Serious,"Abhi, scene tight","START, END",Yes,[REQUEST_URGENCY],intensifier,"Abhi revision shuru karni hogi, scene tight hai."
